ts,eventId,Transform
2024-12-06T15:58:51.5427186Z,1,"{""position"":{""x"":-0.0251170713,""y"":1.57747,""z"":0.0237549059},""rotation"":{""x"":-0.00197617686,""y"":-0.178661153,""z"":-0.0177386943,""w"":0.9837488},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.5427186Z,2,"{""position"":{""x"":-0.219021022,""y"":1.11252832,""z"":0.227275029},""rotation"":{""x"":-0.00459228875,""y"":0.151740223,""z"":-0.08808671,""w"":-0.9844768},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.5432157Z,3,"{""position"":{""x"":0.090681076,""y"":1.11021745,""z"":0.2608552},""rotation"":{""x"":0.0310601983,""y"":0.0253020767,""z"":-0.03454146,""w"":-0.9986},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.6227186Z,1,"{""position"":{""x"":-0.01017751,""y"":1.56846666,""z"":0.0295287054},""rotation"":{""x"":0.0513202958,""y"":-0.071995,""z"":-0.019654993,""w"":0.9958899},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.6227186Z,2,"{""position"":{""x"":-0.200228468,""y"":1.11387122,""z"":0.233994752},""rotation"":{""x"":-0.00072739704,""y"":0.1219115,""z"":-0.08717143,""w"":-0.988705337},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.6237240Z,3,"{""position"":{""x"":0.107968152,""y"":1.12774849,""z"":0.248529792},""rotation"":{""x"":0.06322673,""y"":0.0189691987,""z"":-0.01816664,""w"":-0.997653544},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.6322540Z,1,"{""position"":{""x"":-0.009553228,""y"":1.56811273,""z"":0.0296513326},""rotation"":{""x"":0.0532754958,""y"":-0.06785247,""z"":-0.0198402964,""w"":0.9960744},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.6327540Z,2,"{""position"":{""x"":-0.199084133,""y"":1.11441982,""z"":0.234316558},""rotation"":{""x"":9.939298E-05,""y"":0.120328017,""z"":-0.0871143863,""w"":-0.9889046},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.6347656Z,3,"{""position"":{""x"":0.108581573,""y"":1.12873161,""z"":0.247894824},""rotation"":{""x"":0.06477292,""y"":0.0180674847,""z"":-0.0180538036,""w"":-0.997573137},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.8183732Z,1,"{""position"":{""x"":-0.00509680947,""y"":1.56268311,""z"":0.0268283449},""rotation"":{""x"":0.08055186,""y"":-0.0429304838,""z"":-0.02363502,""w"":0.995545},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.8183732Z,2,"{""position"":{""x"":-0.191750914,""y"":1.1149143,""z"":0.2369909},""rotation"":{""x"":0.001940814,""y"":0.109183572,""z"":-0.07582863,""w"":-0.9911232},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:51.8183732Z,3,"{""position"":{""x"":0.103576146,""y"":1.13267779,""z"":0.241252661},""rotation"":{""x"":0.06913163,""y"":0.0199935623,""z"":-0.00708393,""w"":-0.997382045},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1257333Z,1,"{""position"":{""x"":0.00921225,""y"":1.5430001,""z"":0.0224852264},""rotation"":{""x"":0.17510505,""y"":0.0241784919,""z"":-0.0302589666,""w"":0.983787656},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1267399Z,2,"{""position"":{""x"":-0.104772657,""y"":1.13675153,""z"":0.251015067},""rotation"":{""x"":0.0202459637,""y"":-4.895313E-05,""z"":-0.0323992781,""w"":-0.9992699},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1267399Z,3,"{""position"":{""x"":0.124179259,""y"":1.1424948,""z"":0.22424154},""rotation"":{""x"":0.06606132,""y"":-0.015249189,""z"":0.0005676024,""w"":-0.9976989},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1857311Z,1,"{""position"":{""x"":0.0108162463,""y"":1.540805,""z"":0.0213189647},""rotation"":{""x"":0.184257612,""y"":0.0324615836,""z"":-0.0307704881,""w"":0.9818598},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1857311Z,2,"{""position"":{""x"":-0.0996358,""y"":1.13986874,""z"":0.250020534},""rotation"":{""x"":0.02615368,""y"":-0.00587877352,""z"":-0.0230640955,""w"":-0.9993745},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1857311Z,3,"{""position"":{""x"":0.125012726,""y"":1.14408648,""z"":0.22092399},""rotation"":{""x"":0.06983393,""y"":-0.0168717764,""z"":-0.00163320953,""w"":-0.9974146},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1957596Z,1,"{""position"":{""x"":0.0123752039,""y"":1.53904188,""z"":0.02062491},""rotation"":{""x"":0.191612586,""y"":0.04003993,""z"":-0.0310911983,""w"":0.980160534},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1957596Z,2,"{""position"":{""x"":-0.0929461,""y"":1.143049,""z"":0.249833986},""rotation"":{""x"":0.03026429,""y"":-0.0136903264,""z"":-0.0202202871,""w"":-0.999243557},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.1957596Z,3,"{""position"":{""x"":0.126462251,""y"":1.145613,""z"":0.218555152},""rotation"":{""x"":0.0706817061,""y"":-0.01862056,""z"":-0.00179959054,""w"":-0.9973235},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2096680Z,1,"{""position"":{""x"":0.0137158865,""y"":1.53700042,""z"":0.0199303478},""rotation"":{""x"":0.197896317,""y"":0.0474792942,""z"":-0.0337292738,""w"":0.978491247},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2096680Z,2,"{""position"":{""x"":-0.08978257,""y"":1.14489663,""z"":0.248360351},""rotation"":{""x"":0.0340190642,""y"":-0.0229971129,""z"":-0.0217810757,""w"":-0.9989192},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2096680Z,3,"{""position"":{""x"":0.126496539,""y"":1.14603233,""z"":0.215815574},""rotation"":{""x"":0.07460001,""y"":-0.0191891473,""z"":-0.00135104649,""w"":-0.997028},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2293154Z,1,"{""position"":{""x"":0.015206309,""y"":1.53517163,""z"":0.0191869382},""rotation"":{""x"":0.205015257,""y"":0.054977566,""z"":-0.0345905721,""w"":0.9766011},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2293154Z,2,"{""position"":{""x"":-0.083751,""y"":1.14786386,""z"":0.247736573},""rotation"":{""x"":0.0380061343,""y"":-0.0311789624,""z"":-0.0200815182,""w"":-0.9985891},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2298162Z,3,"{""position"":{""x"":0.1275988,""y"":1.14736712,""z"":0.213295788},""rotation"":{""x"":0.07614299,""y"":-0.020633433,""z"":-0.00134105165,""w"":-0.9968825},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2857671Z,1,"{""position"":{""x"":0.0157469623,""y"":1.53407192,""z"":0.018260885},""rotation"":{""x"":0.209561169,""y"":0.05827081,""z"":-0.0345147066,""w"":0.9754473},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2867734Z,2,"{""position"":{""x"":-0.08600626,""y"":1.14699411,""z"":0.247482136},""rotation"":{""x"":0.0323667452,""y"":-0.0299314484,""z"":-0.0289327912,""w"":-0.998608768},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.2867734Z,3,"{""position"":{""x"":0.126780286,""y"":1.144696,""z"":0.2132437},""rotation"":{""x"":0.06919307,""y"":-0.0184583478,""z"":0.0034328457,""w"":-0.9974266},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.3908647Z,1,"{""position"":{""x"":0.02102028,""y"":1.52874386,""z"":0.013413351},""rotation"":{""x"":0.226052269,""y"":0.0770100355,""z"":-0.0425436422,""w"":0.97013396},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.3913647Z,2,"{""position"":{""x"":-0.092534095,""y"":1.14874017,""z"":0.238536328},""rotation"":{""x"":0.0279620569,""y"":-0.0206121691,""z"":-0.0462721549,""w"":-0.9983247},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.3913647Z,3,"{""position"":{""x"":0.128975913,""y"":1.14479208,""z"":0.20811297},""rotation"":{""x"":0.0687782,""y"":-0.0283359252,""z"":0.000451908563,""w"":-0.9972294},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4167812Z,1,"{""position"":{""x"":0.0221734364,""y"":1.52714753,""z"":0.0122834221},""rotation"":{""x"":0.231552333,""y"":0.08175966,""z"":-0.0433966666,""w"":0.968408763},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4172862Z,2,"{""position"":{""x"":-0.09343132,""y"":1.1483382,""z"":0.237405956},""rotation"":{""x"":0.0263466127,""y"":-0.0169490948,""z"":-0.0463288836,""w"":-0.9984349},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4172862Z,3,"{""position"":{""x"":0.1324128,""y"":1.14785719,""z"":0.207334355},""rotation"":{""x"":0.07313368,""y"":-0.0365606025,""z"":-0.0004267866,""w"":-0.9966517},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4500732Z,1,"{""position"":{""x"":0.0234795064,""y"":1.52620554,""z"":0.0111639481},""rotation"":{""x"":0.236526608,""y"":0.08689001,""z"":-0.0451868,""w"":0.966676533},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4500732Z,2,"{""position"":{""x"":-0.09305532,""y"":1.14814436,""z"":0.236268222},""rotation"":{""x"":0.0255762674,""y"":-0.0194358137,""z"":-0.0456028357,""w"":-0.998443067},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4500732Z,3,"{""position"":{""x"":0.135424808,""y"":1.15085351,""z"":0.20620808},""rotation"":{""x"":0.07712707,""y"":-0.041710116,""z"":-0.002734179,""w"":-0.9961447},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4712605Z,1,"{""position"":{""x"":0.02492624,""y"":1.52608371,""z"":0.0106678968},""rotation"":{""x"":0.235949755,""y"":0.09386111,""z"":-0.0473545045,""w"":0.966061831},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4717595Z,2,"{""position"":{""x"":-0.09281671,""y"":1.147423,""z"":0.236462146},""rotation"":{""x"":0.0246020481,""y"":-0.0200664029,""z"":-0.0499174967,""w"":-0.9982487},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4717595Z,3,"{""position"":{""x"":0.139188543,""y"":1.15381193,""z"":0.204731345},""rotation"":{""x"":0.08148972,""y"":-0.0462163053,""z"":-0.0007575438,""w"":-0.9956018},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4992614Z,1,"{""position"":{""x"":0.0261318479,""y"":1.52508807,""z"":0.009740231},""rotation"":{""x"":0.239243388,""y"":0.0989518,""z"":-0.04893059,""w"":0.9646642},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4997610Z,2,"{""position"":{""x"":-0.09275055,""y"":1.14717746,""z"":0.2355289},""rotation"":{""x"":0.0235475,""y"":-0.02046351,""z"":-0.0521628335,""w"":-0.9981512},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.4997610Z,3,"{""position"":{""x"":0.141848683,""y"":1.15598977,""z"":0.203508511},""rotation"":{""x"":0.08397021,""y"":-0.0502106845,""z"":-0.000895346631,""w"":-0.9952021},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-12-06T15:58:52.5273390Z,1,"{""position"":{""x"":0.0281877052,""y"":1.52449393,""z"":0.008236064},""rotation"":{""x"":0.2390402,""y"":0.106705062,""z"":-0.0513719134,""w"":0.963760734},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
